Utility,Contaminant_Factor,Zip,county_FIPS
Sherman Oaks,79,49201,26075
Leoni Township,175,49202,26075
Adrian,20,49220,26091
Bean Creek Resort,124,49220,26091
Blissfield,1248,49220,26091
Britton,259,49220,26091
Brookdale Adrian,2000,49220,26091
Clinton Estates,22,49220,26091
Country Villa Estates,20,49220,26091
Lee Villa Mobile Home Park,698,49220,26091
Leffingwell Estates,16,49220,26091
Madison Township,475,49220,26091
Man Nor Farms Subdivision,31,49220,26091
Onsted,146,49220,26091
Riga Township,2046,49220,26091
Tecumseh,11,49220,26091
Waters Edge Mobile Home Community,2962,49220,26091
Albion,422,49224,26025
Parma Village of,321,49224,26025
Parma Township-amberton Vill.,61,49224,26025
Manchester,684,49230,26075
Spsm,920,49233,26059
Ridgeway,750,49238,26091
Sylvan Township,741,49240,26075
Arbor Ridge Condominiums,379,49241,26075
Arbor Village,34,49241,26075
Coachmans Cove,85,49241,26075
Coffmans Trailer Park,1000,49241,26075
Pleasant Lake Mobile Home Court,18,49241,26075
Shady Park,1038,49241,26075
Willows On Twin Ponds,1268,49241,26075
Country Living Adult Foster Care,31,49258,26059
Hillside Acres,1544,49258,26059
Jonesville,196,49258,26059
Somerset Center,16,49258,26059
Waldron,246,49258,26059
Lowell Township,366,49301,26081
Muskegon,1592,49303,26121
Kentwood,1356,49303,26121
Grandville,1333,49303,26121
Muskegon Heights,1983,49303,26121
East Grand Rapids,2763,49303,26121
Fruitport Township,1842,49303,26121
Ada Township,1763,49303,26121
Merrill Village of,426,49309,26123
Middleville,191,49316,26081
Georgetown Township,1309,49323,26005
Holland Board of Public Works,1633,49323,26005
Allendale Township,1613,49323,26005
Grand Haven Township,1190,49323,26005
Newaygo,67,49329,26117
Hesperia,505,49339,26117
Hess Lake Rv and Mobile Home Park,1500,49339,26117
Lake Forest Park,2,49339,26117
White Cloud,10,49339,26117
Lake Bella Vista,330,49341,26081
Olive/blendon Townships,1223,49401,26139
Polkton Township,1525,49403,26139
Coopersville,1630,49404,26139
Crockery Township,675,49404,26139
Fennville,112,49408,26005
Country Village,1874,49409,26139
Ferrysburg,591,49409,26139
Grand Haven,1024,49409,26139
Hudsonville,1227,49409,26139
Jamestown Township,1090,49409,26139
Northwest Ottawa County Water System,554,49409,26139
Port Sheldon Township,1510,49409,26139
Spring Lake,87,49409,26139
Spring Lake Township,795,49409,26139
Tallmadge Meadows,1104,49409,26139
West Olive Estates,32,49409,26139
Zeeland Board of Public Works,1734,49409,26139
Pentwater,208,49420,26127
Ludington City of,917,49431,26105
Musk County Northside Water System,1814,49437,26121
Roosevelt Park,1686,49441,26121
North Muskegon,1597,49441,26121
Muskegon County Eastside Water System,1792,49442,26121
Arlington Woods,400,49442,26121
Apple Carr Village,84,49442,26121
Egelcraft Mobile Home Park,2961,49442,26121
Butterfield Woods Subdivision,2,49443,26121
Crystal Downs Mobile Village,40,49443,26121
Maple Island Estates,429,49443,26121
Pine Island Lake Rec Park,1,49443,26121
Timberline Estates,25,49443,26121
White Lake Assisted Living Center,31,49443,26121
Cedar Creek Township,0,49445,26121
Fillmore Township,1453,49453,26005
Scottville City of,1346,49454,26105
Pere Marquette Township - Customer,1554,49458,26105
Tall Oaks Condominums,4,49458,26105
Tamarac Village,176,49458,26105
City of Cadillac,326,49601,26165
Bay Harbor Club,2,49611,26009
Bellaire Village of,2,49611,26009
Central Lake Village of,144,49611,26009
Cottage Cove On Elk Lake,2,49611,26009
Elk Rapids Village of,10,49611,26009
Ellsworth Village of,2,49611,26009
Mancelona Area Water and Sewer Authority,618,49611,26009
Meadowbrook Med Care Facility,24,49611,26009
Shanty Creek - Watars Association,50,49611,26009
Kalkaska Village of,1083,49612,26009
Bear Lake Village of,244,49613,26101
Benzonia Village of,278,49613,26101
Beulah Village of,94,49613,26101
Buena Vista Estates,4,49613,26101
Camp Arcadia / Lca,4,49613,26101
Elberta Village of,257,49613,26101
Filer Charter Township,201,49613,26101
Frankfort City of,973,49613,26101
Kaleva Village of,129,49613,26101
Kamp Villa Rv Park,8,49613,26101
Manistee City of,189,49613,26101
Pirates Cove Condominiums,18,49613,26101
Valleywood Cove Condominium Association,0,49613,26101
Torch Lake Township,181,49615,26009
Michigan-american Water Company,184,49615,26009
Buckley Village of,137,49618,26165
Haring Charter Township,1638,49618,26165
Manton City of,49,49618,26165
Mesick Village of,0,49618,26165
Duvernay Park Apartments,8,49623,26085
Idlewild Garden Housing,18,49623,26085
Osceola Township,266,49631,26133
Roscommon Village of,24,49632,26113
Homestead/crystal River Water Company,16,49636,26089
Evart City of,385,49639,26133
Empire Village of,8,49640,26019
Kingsley Village of,184,49649,26055
Blair Township,83,49649,26055
East Bay Charter Township,255,49649,26055
Lake City City of,207,49651,26113
Suttons Bay Village of,13,49653,26089
First Point Mobile Court,4,49654,26089
Leelanau County Law Enforcement Center,117,49654,26089
Maple Valley Nursing Home,28,49654,26089
Northport Cottage Owners,448,49654,26089
Northport Village of,974,49654,26089
The Leelanau School,6,49654,26089
Thorn Creek Condominiums,5,49654,26089
York Condominiums,6,49654,26089
Mcbain City of,286,49657,26113
Reed City City of,856,49677,26133
City of Traverse City,625,49684,26089
Centreville,126,49684,26089
Peninsula Township,983,49685,26055
Kings Court Mobile Home Park,5,49686,26055
Black Bear Farms,12,49696,26055
Cherryland Mobile Home Park,19,49696,26055
Country Eden LLC,25,49696,26055
Deepwater Pointe Association,95,49696,26055
Grand Traverse Condominiums,77,49696,26055
Interlochen Center For The Arts,64,49696,26055
Juniper Hills Condominiums,16,49696,26055
Meadowlane Mobile Home Park,20,49696,26055
Silver Lake View Mobile Home Park,45,49696,26055
Silver Shores Mobile Home Park,133,49696,26055
The Lighthouse-traverse City LLC,23,49696,26055
Cheboygan City of,51,49705,26031
Mackinaw City Village of,121,49705,26031
Point Nipigon Resort,22,49705,26031
South Pointe I Apartments,1030,49705,26031
South Pointe II Apartments,8,49705,26031
Sunset Beach Association,6,49705,26031
Burt Township,18,49706,26047
Alpena Township,1402,49707,26007
Maple Ridge Township,1109,49707,26007
Hillman Village of,39,49709,26119
Kinross Township,317,49715,26033
Charlevoix Township,29,49720,26029
Charlevoix City of,898,49720,26029
Beaver Creek Resort,67,49733,26039
Gaylord City of,3529,49733,26039
Glen Meadows Condominiums,37,49733,26039
Grayling City of,140,49733,26039
Horsell Manor,4,49733,26039
Lakeview Apartments,222,49733,26039
Nottingham Forest Mobile Home Park,13,49733,26039
Timberly Village Mobile Home Park,6,49733,26039
Treetops Resort (treetops North),29,49733,26039
West Traverse Township,95,49740,26047
Birchwood Farms,39,49740,26047
Harbor Springs City of,43,49740,26047
City of Alpena,804,49744,26007
St. Ignace,654,49745,26097
Pentland Township,0,49748,26033
Briley Township,358,49751,26137
Oak Leaf Manor,14,49751,26137
Rudyard Township,4,49752,26033
Petoskey City of,105,49755,26047
Boyne Highlands Resort,123,49755,26047
Rogers City City of,926,49759,26141
Little Traverse Township,41,49764,26047
Mackinac County Housing-curtis,8,49775,26097
Mackinac Island,932,49775,26097
Marquette Township,451,49780,26033
Boyne City City of,27,49782,26029
Boyne Falls Village of,8,49782,26029
Boyne Mountain Resort,7,49782,26029
East Jordan City of,40,49782,26029
Hemingway Pointe Club Owners Association,77,49782,26029
Islandview Home Owners Association,28,49782,26029
Lake Michigan Heights,6,49782,26029
Sommerset Water Works Inc.,27,49782,26029
Villa Nouva Association,6,49782,26029
Walloon Lake Water System,54,49782,26029
Sault Ste Marie,1144,49783,26033
Detour,1009,49784,26033
Drummond Island Apartments,14,49784,26033
Livingston Community Water Authority,126,49795,26137
Quinnesec,20,49801,26043
Iron Mountain,192,49801,26043
Breitung Township -east Kingsford,17,49802,26043
Calumet,197,49805,26083
Calumet Township,112,49805,26083
Chatham,1443,49806,26003
Mathias Township,30,49806,26003
Munising,4,49806,26003
Munising Industrial Park,7,49806,26003
Ford River Township,85,49807,26041
Escanaba,2137,49807,26041
Ishpeming Township - East,108,49808,26103
Harrison Township,1107,49812,26109
Ely Township-greenwood,46,49814,26103
Republic Township,403,49814,26103
Ely Township-diorite,286,49815,26043
M553 Mobile Estates,4,49822,26003
Chocolay Shores Apartments,435,49822,26003
Forsyth Township,21,49822,26003
Ishpeming,1121,49822,26003
K I Sawyer,15,49822,26003
Negaunee,1039,49822,26003
Negaunee Township,7,49822,26003
Negaunee-ishpeming Authority,759,49822,26003
Pine Acres Mobile Home Park,20,49822,26003
Powell Township,24,49822,26003
Skandia-west Branch Water Department,0,49822,26003
Portage Township,577,49827,26097
Riversbend Mobile Home Park,40,49834,26043
Mcmillan Township,7,49839,26003
Carney-nadeau Water & Sewer Authority,94,49847,26109
Hermansville Housing Commission,12,49847,26109
Menominee,1360,49847,26109
Powers-spalding Water Authority,96,49847,26109
Seney Township,16,49854,26153
Crystal Falls Township - Lind,70,49861,26013
Newberry Water & Light,54,49868,26095
Nahma Township,874,49878,26041
Manistique,537,49883,26153
Ahmeek,184,49901,26083
Eagle Harbor Township,49,49901,26083
Houghton Township,18,49901,26083
Bates Township,6,49903,26071
Ontonagon,1173,49910,26131
Marenisco Township,18,49910,26131
Ironwood Township,354,49911,26053
Bessemer,85,49911,26053
Interior Township,1,49912,26131
Watersmeet Township,18,49912,26131
Gaastra,0,49915,26071
Chassell Township,115,49916,26061
Copper City,256,49917,26061
Alpha,315,49920,26071
Hematite Township,16,49920,26071
Crystal Falls,92,49920,26071
Bessemer Township,361,49938,26053
Lake Linden,34,49945,26061
Franklin Quincy Water Authority,981,49952,26061
Houghton County Memorial Airport,942,49952,26061
Laurium,578,49952,26061
South Range,930,49952,26061
Los Angeles Department of Water and Power,960,90001,6037
Walnut Park Mutual Water Company,91,90001,6037
Central Basin Municipal Water District,1168,90002,6037
Lynwood Water Department,1005,90002,6037
South Gate Water Department,956,90002,6037
Cal/am Water Company - Baldwin Hills,1154,90008,6037
Commerce-city Water Department,3394,90022,6037
Monterey Park Water Department,1084,90022,6037
Santa Monica,569,90025,6037
Burbank Water Department,514,90027,6037
Young-nak Presbyterian Church,0,90031,6037
City of Alhambra,1118,90032,6037
City of South Pasadena,492,90032,6037
Montebello-city Water Department,2775,90040,6037
Downey Water Department,1544,90040,6037
South Montebello Irrigation District,1839,90040,6037
City of Inglewood,1328,90043,6037
El Segundo Water Department,1000,90045,6037
Hawthorne Water Department,1311,90047,6037
Long Beach Water Department,1858,90052,6037
Pomona Water Department,968,90052,6037
Park WC - Compton,175,90059,6037
Compton Water Department,957,90059,6037
Tract 180 Mutual Water Company,322,90201,6037
Tract 349 Mutual Water Co.,725,90201,6037
Park WC - Lynwood,1167,90221,6037
Paramount Water Department,1374,90221,6037
Lynwood Park Mutual Water Company,468,90221,6037
Sativa-L.A. County Water District,486,90222,6037
Santa Fe Springs Water Department,966,90241,6037
Norwalk Water Department,1220,90241,6037
Bellflower Municipal Water System,1075,90242,6037
Gswc - Hollydale,121,90242,6037
Manhattan Beach Water Department,969,90245,6037
City of Torrance Water Department,1007,90247,6037
Maywood Mutual Water Company #1,1507,90255,6037
Calleguas Municipal Water District,1233,90265,6037
Yerba Buena Water Company,150,90265,6037
Cal American Water Company,2802,90265,6037
Naval Base Ventura County Point Mugu,1435,90265,6037
Oxnard Water Department,774,90265,6037
Port Hueneme Water Agency,650,90265,6037
Lomita Water Department,942,90274,6037
Las Virgenes Municipal Water District,1162,90290,6037
Whittier Water Department,861,90601,6037
City Of Industry Waterworks Systems,1176,90601,6037
Pico Rivera Water Department,1858,90601,6037
California Domestic Water Company,530,90603,6037
La Habra Heights County Water District,2963,90603,6037
City of La Habra,580,90603,6037
Orchard Dale Water District,1596,90604,6037
Pico WD,1313,90606,6037
City of Anaheim,2615,90620,6059
Cerritos - City Water Department,1725,90620,6059
City of Fullerton,1311,90621,6059
City of Buena Park,843,90623,6059
City of La Palma,2237,90623,6059
Golden State Water Company (GSWC) - Artesia,38656,90630,6059
Rowland Water District,968,90631,6059
Three Valleys Municipal Water District,1136,90631,6059
City Of Brea,497,90631,6059
Montebello Land & Water Company,1988,90640,6037
Hynes Estates Mutual Water Company,187,90680,6059
Lakewood Water Department,1769,90703,6037
Bellflower - Somerset MWC,871,90703,6037
Bellflower Home Gardens Water Company,880,90706,6037
City of Seal Beach,649,90720,6059
City of Westminster,406,90740,6059
Signal Hill - City Water Department,1346,90804,6037
Lincoln Avenue Water Company,1291,91001,6037
Rubio Canon Land & Water Association,277,91001,6037
Las Flores Water Company,659,91001,6037
Sierra Madre Water Department,209,91006,6037
Hemlock Mutual Water Company,53,91006,6037
East Pasadena Water Company,634,91007,6037
Sunny Slope Water Company,556,91007,6037
Azusa Light and Water,1555,91010,6037
La Canada Irrigation District,1153,91011,6037
Mesa Crest Water Company,850,91011,6037
Crescenta Valley CWD,1680,91011,6037
Cal-am Water Company - Duarte,574,91016,6037
City of Arcadia,776,91016,6037
Foothill Municipal Water District,1073,91024,6037
Valhalla Water Association,7,91042,6037
Kinneloa Irrigation District,661,91107,6037
San Gabriel County WD,710,91108,6037
Oak Park Water Service,1384,91301,6037
Ventura Waterworks District No. 8 - Simi Valley,875,91304,6037
Ventura County Waterworks District No. 17 - Bell Canyon,2197,91304,6037
Castaic Lake Water Agency,878,91311,6037
Thousand Oaks Water Department,1450,91320,6111
Camrosa Water District,1772,91320,6111
Newhall CWD-Newhall,587,91321,6037
Santa Clarita Water Division,2996,91321,6037
Valencia Water Company,2436,91321,6037
San Fernando Water Department,544,91340,6037
Los Angeles County Waterworks District 21-kagel Canyon,10389,91342,6037
Newhall Cwd-tesoro Del Valle,1406,91350,6037
Lake Sherwood Community Services District,1168,91361,6111
Newhall Cwd-castaic,518,91384,6037
Antelope Valley - East Kern Water Agency,3207,91384,6037
Peter Pitchess Honor Rancho Detention Center,199,91384,6037
Paradise Ranch Mobile Home Park,333,91384,6037
Newhall Cwd-pinetree,2430,91387,6037
Green Valley County Water District,515,91390,6037
Spv Water Company,108,91390,6037
North Trails Mutual Water Company,2863,91390,6037
Los Angeles City Of - Power Plant #1,1821,91390,6037
Sleepy Valley Water Company,132,91390,6037
Lily Of The Valley Mobile Village,1614,91390,6037
White Rock Lake Rv Park,4,91390,6037
L.a. Residential Community Foundation,1001,91390,6037
Casa Dulce Estates,1648,91390,6037
Rivers End Trailer Park,0,91390,6037
City of Upland,1127,91701,6071
Glendora Water Department,891,91702,6037
Fire Suppression Camp 19,557,91702,6037
The River Community,0,91702,6037
La Puente Valley County Water District,273,91706,6037
California Institution For Men,845,91708,6071
City of Chino Hills,1185,91708,6071
Ontario Municipal Utilities Company,1038,91708,6071
Jurupa Community Services District,805,91708,6071
Western Municipal Water District,1639,91708,6071
City of Chino,1485,91709,6071
La Verne WD,1437,91711,6037
Covina Water Department,1968,91722,6037
Valencia Heights Water Company,931,91724,6037
Walnut Valley Water District,1170,91724,6037
San Gabriel Valley Water Company - Fontana,2634,91730,6071
Sterling Mutual Water Company,765,91732,6037
El Monte Water Department,261,91732,6037
Santa Ana River Water Company,81,91752,6065
Mount Baldy Homeowners Association,147,91759,6037
San Antonio Canyon Msc,2,91759,6037
San Antonio Water Company,356,91759,6037
Cucamonga Valley Water District,1119,91761,6071
Calif State Polytechnical Univ - Pomona,1543,91768,6037
Amarillo Mutual Water Company,480,91770,6037
Alpine Oaks Estates LLC,55,91901,6073
Willowside Terrace Water Association,178,91901,6073
Otay Water District,978,91902,6073
San Diego County Water Authority,1326,91902,6073
City of San Diego,1128,91902,6073
Live Oak Springs Water Company,33,91905,6073
Rancho Del Campo Water System,48,91906,6073
Lake Morena Oak Shores Mw Company,769,91906,6073
Lake Morena Views Mw Company,263,91906,6073
Pine Valley Trailer Park,35,91931,6073
Pine Valley Bible Conference Center,21,91931,6073
Pine Valley Mutual Water Company,246,91931,6073
Guatay Mutual Benefit Corporation,100,91962,6073
Sweetwater Authority,1542,91977,6073
Helix Water District,562,91978,6073
City of Oceanside,1378,91980,6073
City of Escondido,1615,91980,6073
Vista Irrigation District,1320,91980,6073
City of Poway,1715,91980,6073
Padre Dam Municipal Water District,777,91980,6073
Valley Center MWD,1492,92003,6073
Coachella Vwd: I.d. No. 11,171,92004,6073
Ocotillo Oasis Mobile Home Park,23,92004,6073
Olivenhain Municipal Water District,2335,92007,6073
Santa Fe ID,2118,92007,6073
Vallecitos Water District,1600,92008,6073
City of Carlsbad,1508,92009,6073
San Dieguito WD,2132,92009,6073
Del Mar City Of,882,92014,6073
Ramona Municipal WD,1562,92025,6073
Rincon Del Diablo Municipal Water District (id-a),3307,92025,6073
San Pasqual Academy,311,92025,6073
Rainbow Municipal WD,1612,92026,6073
Lake Wohlford Resort,1007,92027,6073
Oakvale Park,108,92027,6073
Fallbrook PUD,884,92028,6073
Camp Pendleton (North),1691,92028,6073
Rancho California Water District,1195,92028,6073
Del Dios Mutual Water Company,561,92029,6073
Pine Hills Mutual Water Company,429,92036,6073
Cuyamaca Water District,2,92036,6073
Julian Community Services District,79,92036,6073
North Peak Mutual Water Company,1,92036,6073
Richardson Beardsley Park Inc.,3,92036,6073
Butterfield Ranch,33,92036,6073
H & J Water Company,129,92036,6073
La Cima Fire Center,78,92036,6073
Santa Margarita Water District,883,92055,6073
City of San Clemente,1160,92055,6073
Pauma Valley Mutual Water Company,159,92059,6073
Yuima Municipal Water District,1158,92059,6073
Palomar Observatory,2,92060,6073
Rancho Pauma Mutual Water Company,204,92061,6073
Rancho Estates Mutual Water Company,582,92061,6073
Lazy H Mutual Water Company,34,92061,6073
Rancho Corrido Rv Resort,132,92061,6073
Rancho Santa Teresa Mw Company,261,92065,6073
Lake Henshaw Resort Inc.,1,92070,6073
Palomar Mountain Mutual Water Company,0,92086,6073
Los Tules Mutual Water Company,78,92086,6073
Puerta La Cruz Cc #14,41,92086,6073
Quiet Oaks Mobile Home Park,235,92086,6073
Nas North Island & Nab Coronado,917,92118,6073
Indio Water Authority,417,92201,6065
Chiriaco Summit Water District,1165,92201,6065
Carver Tract Mutual Water Company,776,92201,6065
Coachella Water Authority,1147,92201,6065
Myoma Dunes Mutual Water Company,644,92203,6065
Galindo Housing Facility,868,92203,6065
Desert Water Agency,227,92220,6065
High Valleys Water District,479,92220,6065
Cabazon Water District,159,92220,6065
Banning Hts. Mutual Water Company,729,92220,6065
Twin Pines Boys Ranch,16,92220,6065
Cdf - Oak Glen Conservation Camp,7,92220,6065
Eastern Municipal Water District,1325,92220,6065
Calipatria State Prison,1181,92222,6025
Centinela State Prison,1430,92222,6025
City of Brawley,2306,92222,6025
City of Calexico,2641,92222,6025
City of El Centro,2193,92222,6025
City of Imperial,2428,92222,6025
Country Life Mobile Home & Rv Park,0,92222,6025
Coyote Valley Mutual Water Company,16,92222,6025
Gswc - Calipatria,1438,92222,6025
Heber Public Utility District,1890,92222,6025
Holtville City Of,1863,92222,6025
Iid Drop Four,125,92222,6025
Iid Village,2013,92222,6025
Jackson Hide-a-way,19,92222,6025
Mitchells Camp Family Association,1129,92222,6025
Naf El Centro,985,92222,6025
Ocotillo Mutual Water Co.,802,92222,6025
Palo Verde County Water District,1970,92222,6025
Seeley County Water District,2499,92222,6025
Sportsmans Paradise,1264,92222,6025
Westmorland City Of,1898,92222,6025
Winterhaven County Water District,228,92222,6025
City of Banning,479,92223,6065
Yucaipa Valley Water District,1578,92223,6065
Village Of Child Help,355,92223,6065
Chuckawalla Valley/ironwood State Prison,333,92225,6065
Riverside Csa #122-mesa Verde,2321,92225,6065
Csa 62,679,92225,6065
Blythe - Mesa Ranch,1057,92225,6065
Blythe - Hidden Beaches,753,92225,6065
Blythe Mobile Home Estates,57,92225,6065
Palm Springs Crest,265,92230,6065
Coachella Valley Water District: Cove Community,2299,92233,6025
Castro Trailer Park,630,92236,6065
San Bernardino City,1951,92242,6071
Victorville Water District,2135,92242,6071
Hesperia Water District,466,92242,6071
East Valley Water District,1381,92242,6071
Redlands City,1002,92242,6071
Hi Desert WD,463,92252,6071
Bdvwa - Goat Mountain Id,1478,92252,6071
Twentynine Palms Water District,2344,92252,6071
Saint Anthony Trailer Park,4650,92254,6065
Csa 70 W-3 Hacienda,161,92256,6071
Alpine Village,722,92264,6065
Oasis Gardens Water Company,3625,92274,6065
Aida Aguirre,2762,92274,6065
Amezcua - Garcia Water,2413,92274,6065
Thermal Mutual Water Company,803,92274,6065
Los Gatos Trailer Park,1375,92274,6065
Desert View Trailer Park,1434,92274,6065
Joshua Basin Water District,1609,92277,6071
USMC - 29 Palms,1316,92277,6071
West Palm Springs Village,420,92282,6065
Csa 70-f Morongo,105,92282,6065
Bighorn - Desert View Water Agency,662,92284,6071
Helendale Community Service District,332,92301,6071
Phelan Pinon Hills CSD,564,92301,6071
Thunderbird County Water District,1071,92307,6071
Navajo Mutual Water Company,19,92307,6071
SBDNO County Service Area 64,798,92307,6071
Rancheritos Mutual Water Company,208,92307,6071
Apple Valley View Mutual Water Company,2811,92307,6071
Mariana Ranchos County Water District,10,92308,6071
Juniper Riviera County Water District,1014,92308,6071
Apple Valley Heights County Water District,91,92308,6071
Apple Valley Foothill County Water District,360,92308,6071
Bear Valley Mobile Home Park,352,92308,6071
Hi Desert Mutual Water Company,2013,92311,6071
Bar-len Mutual Water Company,4426,92311,6071
Riverside Highland Water Company,285,92313,6071
City of Colton,257,92313,6071
Dwp - Big Bear Lake/moonridge,111,92314,6071
Big Bear City CSD,79,92315,6071
West Valley Water District,1071,92316,6071
Marygold Mutual Water Company,384,92316,6071
City of Rialto,655,92316,6071
Rubidoux Community SD,1643,92316,6071
South Mesa Water Company,528,92320,6065
Plantation On The Lake Park,258,92320,6065
Sharondale Mesa Homeowners Association,393,92320,6065
Rancho Calimesa Mobile Home Park,650,92320,6065
Beaumont Cherry Valley WD,565,92320,6065
Arrowhead Villas Mutual Service Company,202,92321,6071
Sky Forest Mutual Water Company,115,92321,6071
Cedarpines Park Mutual Water Company,353,92322,6071
Valley of Enchantment Mutual Water Company,369,92322,6071
Crestline Village County Water District - Division 10,390,92322,6071
City of Loma Linda,1688,92324,6071
Reche Canyon Mutual Water Company,365,92324,6071
Olive Dell Ranch,629,92324,6071
Strawberry Lodge Mutual Water Company,57,92325,6071
Nps - Death Valley Cow Creek/nevares,3101,92328,6027
Big Pine Tract,0,92339,6071
Forest Park Mutual Water Company,1,92339,6071
Arrowbear Park County Water District,0,92341,6071
Green Valley Mutual Water Company,479,92341,6071
Running Springs Water District,587,92341,6071
Mojave Public Utility District,2312,92342,6071
Clawa,644,92345,6071
SBNDO County Service Area 70J,2283,92345,6071
Desert View Mobile Park,27,92347,6071
Deer Lodge Water System,364,92352,6071
Dogwood Blue Jay Cyn Imp,33,92352,6071
Alpine Water Users Association,500,92352,6071
Loma Linda Power Plant,230,92354,6071
Jubilee Mutual Water Company,1514,92356,6071
West End Mutual Water Company,467,92356,6071
Desert Springs Mutual Water Company,1906,92356,6071
Bar H Mutual Water Company,369,92356,6071
Lucerne Valley Mutual Water Company,318,92356,6071
Gordon Acres Water Company,484,92356,6071
Desert Dawn Mutual Water Company,293,92356,6071
Lucerne Vista Mutual Water Company,1025,92356,6071
Rancho Pino Verde,110,92356,6071
Moss Mobile Manor,188,92356,6071
Lytle Springs Water Company,4,92358,6071
Mill Creek Msc,26,92359,6071
Rocky Comfort Mutual Water Company,1002,92359,6071
Havasu Water Company,1508,92363,6071
Palms River Resort,1262,92363,6071
Lake Jodie Water System,1080,92365,6071
Crystal Lake Property Owners,866,92365,6071
Ironwood Camp,4925,92365,6071
Csa 42 Oro Grande,118,92368,6071
Sheep Creek Water Company,79,92371,6071
Lacsd - Rimforest,645,92378,6071
Smiley Park Country Club,8,92382,6071
City of Adelanto,768,92394,6071
Apple Valley Ranchos Water Company,1215,92394,6071
River Ranch Mobile Home Park,15,92395,6071
Daggett Community Services District,291,92398,6071
Calico Lake Homeowners,107,92398,6071
Trinity Oasis Palms Inc.,697,92398,6071
Oak Glen Domestic Water,20,92399,6071
Hillcrest Mobile Estates,426,92399,6071
Camp Waterman Mutual Water Company,23,92404,6071
Muscoy Mutual Water Company No. 1,104,92407,6071
Devore Water Company,181,92407,6071
Glen Helen Water System,149,92407,6071
Freedom Acres The Resport,45,92407,6071
City of Riverside,1033,92501,6065
City of Corona,4598,92503,6065
Box Springs Mutual Water Company,493,92507,6065
Elsinore Valley Municipal Water District,3358,92521,6065
Ortega Oaks Rv Park & Campground,1991,92530,6065
Anza Mutual Water Company,293,92539,6065
Anza Pines Mobile Home Park,51,92539,6065
City of Hemet,531,92543,6065
Lake Hemet Municipal Water District,875,92543,6065
City of San Jacinto,593,92543,6065
Desert Palms Mobile Home Park,20,92543,6065
Bautista Cc No. 36,391,92544,6065
Idyllwild Water District,841,92549,6065
Fern Valley Water District,1082,92549,6065
Stone Creek Water Company,0,92549,6065
Lake Hemet-garner Valley,1393,92561,6065
Pinyon Crest Homeowners Association,88,92561,6065
Royal Carrizo Homeowners Association,71,92561,6065
Pinyon Pines County Water District,0,92561,6065
Trails End Mutual Water Company,9,92561,6065
Thomas Mountain Water Company,42,92561,6065
Baldy Mountain Ranch,171,92561,6065
Rancho Carrillo Mutual Water Company,240,92562,6065
Nuevo Water Company,1032,92567,6065
Perris City Of,1120,92570,6065
North Perris Water System,403,92571,6065
Golden Era Productions,48,92583,6065
Elms Mobile Park,9,92583,6065
Farm Mutual Water Company (the),1083,92584,6065
Oak Haven Association,47,92592,6065
Laguna Beach County WD,1253,92603,6059
City of Santa Ana,688,92606,6059
City of Tustin,395,92606,6059
Trabuco Canyon Water District,1202,92610,6059
El Toro Water District,1204,92618,6059
Irvine Ranch Water District,1278,92626,6059
Moulton Niguel Water District,1086,92629,6059
Liberty Park Water Association,92,92647,6059
South Coast Water District - South Coast,1325,92651,6059
Eastside Water Association,1366,92655,6059
Midway City Mutual Water Company,229,92655,6059
East Orange County Water District - Rz,3790,92705,6059
City of Orange,1926,92705,6059
Golden State WC - Placentia,592,92806,6059
Yorba Linda Water District,4912,92807,6059
Page Avenue Mutual Water Company,277,92833,6059
Block 77 Water Company,1864,92860,6065
California Rehabilitation Center - Norco,1985,92860,6065
City of Norco,1697,92860,6065
Serrano Water District,3550,92867,6059
Home Gardens County Water District,4408,92879,6065
Temescal Valley Water District,624,92881,6065
Glen Eden Sun Club,185,92883,6065
Glen Ivy Hot Springs,1778,92883,6065
Casitas Municipal Water District,1284,93001,6111
Ventura Water Department,2304,93001,6111
Rincon Water & Road Works,1276,93001,6111
Ventura River Water District,876,93001,6111
Casitas Mutual Water Company,715,93001,6111
Carpinteria Valley Water District,1522,93001,6111
Santa Paula Water System,377,93004,6111
Camarillo Water Department,817,93010,6111
Crestview Mutual Water Company,581,93010,6111
Lloyd-butler Mutual Water Company,33,93010,6111
Nyeland Acres Mutual Water Company,179,93010,6111
Ventura CWWD No. 1 - Moorpark,729,93012,6111
Montecito Water District,2096,93013,6083
Fillmore Water Department,144,93015,6111
San Cayetano Mutual Water Company,49,93015,6111
Fillmore Irrigation Company,43,93015,6111
Elkins Ranch,436,93015,6111
Warring Water Service Inc.,320,93015,6111
Rancho Sespe Workers Improvement Association,149,93015,6111
Fillmore West Mobile Home Park,53,93015,6111
Waters Road Domestic Users Group,398,93021,6111
Tico Mutual Water Company,433,93022,6111
Senior Canyon Mutual Water Company,2155,93023,6111
Meiners Oaks County Water District,572,93023,6111
Sisar Mutual Water Company,41,93023,6111
Krotona Institute,207,93023,6111
Siete Robles Mutual Water Company,75,93023,6111
Dempsey Road Mutual Water Company,1368,93033,6111
Cypress Mutual Water Company Inc.,1297,93033,6111
Saviers Road Mutual Water Company,1518,93033,6111
Esterina Properties,1005,93033,6111
Navalair Mobile Home Park,813,93033,6111
Glenview Mobile Park,331,93033,6111
Channel Islands Beach Community Services District,597,93035,6111
Rio Plaza Water Company Inc.,251,93036,6111
